dni,nombre,primerApellido,mail,telefono,calle,numeroCalle,cp
19733631L,Juan,Hugett,jhugett0@uol.com.br,608216676,Transport,3,97481
22177134A,Esther,Unton,estaunton1@oracle.com,939755769,Oriole,6,85742
36662619B,Sergio,Jentle,sjentle2@hubpages.com,993134817,Butternut,18,71755
18414695C,Pedro,Harpham,pharpham3@opensource.org,549338244,Heffernan,56,33160
25021136P,Yacob,Smith,iyacob4@unc.edu,544711260,High Crossing,184,39086
14415720R,Alejandro,Jowling,ajowling5@comcast.net,845617722,Dawn,65,85179
93522318F,Olga,Drew,odrewry6@dmoz.org,625273359,Schurz,54,47211
90156931N,Amanda,Amor,aamor7@dedecms.com,102740450,Homewood,85,77700
16200146H,Aylot,Wayne,waylott8@fda.gov,474532546,Hudson,8,34002
23724127G,Hernan,Pirie,hpirie9@gnu.org,751921089,Redwing,48,34938
12424810M,Trevor,Ninga,treveninga@xinhuanet.com,883192007,Graedel,14,37500
65164471P,Borja,Corden,bcordenb@china.com.cn,915349356,Spenser,7,33545
12483952T,Katrine,Gabec,kgabec@vkontakte.ru,525442371,Pepper Wood,246,34426
14810021K,Uriel,Cowic,uitscowiczd@newyorker.com,471881614,Morningstar,26,26694
16315524W,Ian,Monye,iotimonye@google.com.br,613870533,Village,5,68062
48241866T,Pepe,Hernandez,p.hernandez@gmail.com,620312587,Olimpia,2,45235
