numCuenta,nombreUsuario,movil,calle,ǹumCalle,CP,ciudad,pais
3577,cgratton0,304 659 850,Twin Pines Place,5,23266,Robatal,Indonesia
1071,ldibner1,597 230 108,Knutson Drive,19,26334,Krajan,Indonesia
3601,gluce2,166 763 107,Hayes Alley,4,70403,Yanghe,China
3944,tbridel3,825 250 288,Corscot Drive,2,37261,Horní Čermná,Republica Checa
2792,ksnarie4,252 274 212,Everett Circle,1,88256,Saño,Peru
2196,dhapgood5,138 727 959,Schurz Parkway,70,68095,Huaikan,China
3613,mfarlowe6,254 605 233,Crownhardt Point,84,63201,Le Mans,Francia
3007,ecucuzza7,440 328 325,Westerfield Center,49,78148,Aguadulce,Panama
2137,adufore8,355 484 307,Pleasure Point,56,85622,Châteauroux,Francia
3117,dandreone9,598 975 805,Clyde Gallagher Drive,122,11002,Santiago,Filipinas
2645,lendena,167 478 590,Memorial Terrace,487,20369,Petrolia,Canada
1246,gphizakarleyb,441 842 382,Mendota Park,33,56822,Trai Ngau,Vietnam
3445,rmattschasc,604 450 757,Delladonna Park,49,63985,Xiangshan,China
2970,mmcintoshd,803 507 689,Northwestern Crossing,24,81493,Wakuya,Japón
3736,hcoile,640 379 856,Birchwood Drive,26,67895,Murici,Brasil
